"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Justin Tucker","K","BAL","6","10","9","11","16","8","13","9","10","BYE","7","15","4","11","5","9","9","12","9.6","164"
"2","Daniel Carlson","K","LV","9","13","10","14","16","BYE","10","0","8","2","14","10","11","12","7","5","12","9","9.5","162"
"3","Brett Maher","K","LAR","5","12","12","16","11","5","6","7","-","4","22","4","6","11","12","18","10","0","9.5","161"
"4","Jason Myers","K","SEA","6","1","11","14","10","13","16","11","8","6","BYE","10","10","6","9","4","11","13","9.4","159"
"5","Younghoe Koo","K","ATL","19","5","12","12","1","4","6","14","5","3","12","9","14","BYE","4","9","8","15","8.9","152"
"6","Tyler Bass","K","BUF","8","12","5","11","8","6","BYE","10","7","13","23","10","7","9","6","3","3","5","8.6","146"
"6","Nick Folk","K","TEN","1","5","10","6","18","8","2","21","17","-","4","15","4","11","13","0","6","5","8.6","146"
"6","Eddy Pineiro","K","CAR","6","10","12","6","10","5","3","9","3","16","3","12","BYE","13","12","14","7","5","8.6","146"
"9","Graham Gano","K","NYG","1","17","15","10","10","6","11","8","BYE","7","0","11","9","2","12","14","8","4","8.5","145"
"10","Robbie Gould","K","FA","4","9","6","6","7","2","14","7","-","10","8","8","18","5","3","13","14","8","8.4","142"
"11","Riley Patterson","K","DET","12","8","12","3","7","3","3","5","11","5","-","8","7","13","11","15","9","8","8.2","140"
"12","Greg Zuerlein","K","NYJ","4","9","18","6","8","9","12","5","10","BYE","4","9","19","4","5","3","8","6","8.2","139"
"13","Chase McLaughlin","K","TB","-","0","11","5","17","9","6","11","4","9","12","7","9","-","21","4","4","9","8.6","138"
"14","Jason Sanders","K","MIA","10","6","3","10","6","5","12","8","5","9","BYE","13","6","7","12","9","3","11","7.9","135"
"14","Brandon McManus","K","JAC","11","12","5","5","11","13","4","3","-","4","14","4","14","4","8","9","7","7","7.9","135"
"16","Ryan Succop","K","FA","15","10","8","8","8","14","3","10","12","3","-","6","5","1","5","15","4","6","7.8","133"
"16","Matt Gay","K","IND","6","7","9","9","4","6","-","2","7","5","10","5","14","7","8","19","4","11","7.8","133"
"16","Greg Joseph","K","MIN","13","1","4","18","3","4","BYE","4","8","9","3","9","12","6","8","12","5","14","7.8","133"
"19","Evan McPherson","K","CIN","8","13","10","11","6","8","5","1","6","BYE","17","9","10","5","9","4","1","9","7.8","132"
"19","Ka'imi Fairbairn","K","HOU","10","11","8","7","11","BYE","10","5","5","11","4","3","7","16","6","7","5","6","7.8","132"
"21","Jake Elliott","K","PHI","8","6","6","5","-","10","BYE","5","3","3","5","12","5","12","5","11","6","20","7.6","122"
"22","Cade York","K","TEN","16","6","5","9","4","12","9","8","-","5","5","7","11","4","8","4","6","2","7.1","121"
"23","Mason Crosby","K","FA","1","10","2","9","10","4","3","5","3","7","3","9","8","-","6","15","13","12","7.1","120"
"24","Michael Badgley","K","DET","-","-","-","13","-","BYE","9","10","1","7","7","7","19","12","8","5","12","8","9.1","118"
"25","Joey Slye","K","WAS","2","1","0","5","7","6","11","5","6","19","12","8","9","BYE","9","2","5","8","6.8","115"
"26","Wil Lutz","K","DEN","10","4","2","7","9","14","11","6","7","5","10","0","10","-","3","5","10","1","6.7","114"
"27","Cairo Santos","K","CHI","1","5","14","-","15","1","18","5","6","6","7","4","8","BYE","2","7","4","1","6.5","104"
"28","Harrison Butker","K","KC","9","-","-","-","-","11","6","BYE","6","3","14","14","6","11","4","7","3","8","7.8","102"
"29","Matt Prater","K","ARI","1","1","14","8","-","-","-","9","3","-","5","7","BYE","7","14","14","15","1","7.6","99"
"30","Chris Boswell","K","PIT","14","8","5","12","3","10","5","-","BYE","-","-","-","-","2","8","9","12","9","8.1","97"
"31","Cameron Dicker","K","LAC","-","-","-","-","9","-","-","BYE","8","12","10","5","8","11","6","8","8","9","8.5","94"
"32","Randy Bullock","K","FA","9","1","7","7","3","-","14","5","6","5","-","0","4","2","2","2","7","13","5.4","87"
"33","Matthew Wright","K","SF","-","-","-","12","8","-","-","-","BYE","8","13","13","16","-","-","-","-","-","11.7","70"
"34","Dustin Hopkins","K","CLE","7","6","4","10","-","13","-","-","BYE","-","-","-","-","-","-","-","-","-","8","40"
"35","Austin Seibert","K","FA","5","11","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7.7","23"
"36","Matt Ammendola","K","FA","-","9","3","-","5","3","-","-","-","-","-","-","-","-","-","-","-","-","5","20"
"37","Rodrigo Blankenship","K","FA","9","-","-","-","-","-","10","0","-","-","-","-","-","-","-","-","-","-","6.3","19"
"38","Taylor Bertolet","K","FA","-","-","-","-","12","-","3","-","-","0","-","-","-","-","-","-","-","-","5","15"
"39","Tristan Vizcaino","K","FA","-","-","-","-","-","-","-","-","-","10","-","-","0","-","-","0","-","-","3.3","10"
"39","Caleb Shudak","K","FA","-","-","-","-","-","-","-","-","-","-","-","10","-","-","-","-","-","-","10","10"
"41","Nick Sciba","K","FA","-","-","-","-","-","-","-","7","-","-","-","-","-","-","-","-","-","-","7","7"
"42","Dominik Eberle","K","FA","-","-","-","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6","6"
"43","Josh Lambo","K","FA","-","-","-","-","-","-","-","-","-","-","3","-","-","-","-","-","-","-","3","3"
"44","Quinn Nordin","K","FA","-","-","-","-","0","-","-","-","-","-","0","-","0","-","-","-","-","-","0","0"
"44","Ramiz Ahmed","K","FA","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","0","0"
""
""
