"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Josh Jacobs","RB","LV","7.3","8.1","9.7","29.5","25.3","BYE","33.5","5.4","8.7","16.6","16","42.3","19","17.4","11","5","15.5","5","16.2","275.3"
"2","Christian McCaffrey","RB","SF","11.7","12.8","11.5","16.8","16.4","15.8","6.2","32.3","BYE","13.7","10.6","4.9","20.6","27.3","19.8","11.8","25.3","13.9","16","271.4"
"3","Derrick Henry","RB","TEN","8.2","8.5","20.3","20.7","25.2","BYE","13.8","34.8","23.5","6.7","23.4","11.7","3.8","17.5","22.3","16.6","-","12.8","16.9","269.8"
"4","Austin Ekeler","RB","LAC","7.2","9.4","5.3","28.9","31.9","14.3","24.7","BYE","17.1","6.3","16","14","8.2","16.4","13","19.9","28.1","5","15.6","265.7"
"5","Nick Chubb","RB","CLE","14.3","29.3","17.3","18.7","25.4","7","16.7","24.4","BYE","12.1","6.7","19.2","8","5.4","9.9","10.2","11.6","18.2","15","254.4"
"6","Saquon Barkley","RB","NYG","27.4","8.8","18.6","16.2","16.6","15.5","13.5","12.2","BYE","22","3.5","11.2","14.1","4.8","18","19.3","5.3","-","14.2","227"
"7","Jamaal Williams","RB","NO","15","6","22.7","22.9","5.6","-","6.3","19.6","10.1","11.9","24.4","10.6","9.5","3.7","3.3","1.4","21.7","19.2","12.6","213.9"
"8","Tony Pollard","RB","DAL","2.2","15.8","10.5","0.8","14.6","5.2","10.9","32.7","BYE","18.8","30.9","6.1","22.6","18.2","10.6","8","-","1.9","13.1","209.8"
"9","Dalvin Cook","RB","NYJ","10.8","3.6","13.6","8.6","24.1","14.3","-","20.1","11.6","20.6","7.2","5.6","14.3","7.6","23","7.7","4.4","1.7","11.7","198.8"
"10","Miles Sanders","RB","CAR","16.5","8.6","4.4","27.6","6.4","13.2","-","13.8","15.3","5.4","4.8","28","9.8","27.5","0.9","5.1","6.1","3.3","11.6","196.7"
"11","Aaron Jones","RB","GB","7.6","29","2.7","11.5","8","4.4","19.6","15.7","4.5","21.6","8","15.9","5","BYE","16.6","3.4","11.3","4.8","11.2","189.6"
"12","Najee Harris","RB","PIT","8.6","8.9","10.1","7.4","3.6","10.9","8","6","BYE","9.9","23.6","9.9","9.2","11","14.6","9.5","18.3","13","10.7","182.5"
"13","Joe Mixon","RB","CIN","14.5","8.3","3.8","13.4","8.8","12.8","15.1","5.9","51.1","BYE","6.2","-","-","10.6","5.4","10.8","1.2","12.8","12","180.7"
"14","Rhamondre Stevenson","RB","NE","2.7","5.1","16.1","8.9","17.5","21.1","15.8","14.3","13","BYE","8.2","11.2","7.8","1","22.8","1.3","5.1","8.2","10.6","180.1"
"15","Kenneth Walker III","RB","SEA","-","1.5","3.3","2.4","14.8","17","28.7","11.2","24.9","7.2","BYE","15.9","3.6","-","7.9","10.5","14.2","12.4","11.7","175.5"
"16","Travis Etienne Jr.","RB","JAC","6.5","5.3","7.5","3.2","11.4","10.8","17.9","22.2","24.6","7.3","BYE","0.3","4.6","3.2","10.7","11.2","20","3.4","10","170.1"
"17","Ezekiel Elliott","RB","NE","4.9","4.9","13.5","8.1","7.8","14.6","17.7","-","-","BYE","16.7","15.5","15.1","14.1","13.1","12.1","9.7","1","11.3","168.8"
"18","Alvin Kamara","RB","NO","4.6","-","5.3","-","17.4","12.4","10.5","33.8","6.2","4.5","8.9","1","3.7","BYE","10.4","17","8","11","10.3","154.7"
"19","James Conner","RB","ARI","11.5","5.1","5.7","7.7","6.3","-","-","-","6.4","20.6","11.4","18","BYE","17.4","15.1","18","11","-","11.9","154.2"
"20","Leonard Fournette","RB","FA","13.7","7.4","7","11.4","25.9","16.1","2.6","11.8","6","10.8","-","-","8.1","4.6","7.4","16.2","4.7","0.4","9.6","154.1"
"21","David Montgomery","RB","DET","5","13.6","1.1","-","14.2","8","12.2","5.5","4.4","4.4","18.1","11.3","12.7","-","21.1","6.4","3.6","2.1","9","143.7"
"22","Tyler Allgeier","RB","ATL","-","3","3","10.4","4.5","5.1","11","14.5","12.3","0.3","6.4","5.4","5.2","BYE","21.6","11.7","15.5","13.5","9","143.4"
"23","D'Andre Swift","RB","PHI","23.5","14.7","4.6","-","-","-","BYE","9.3","5","7.2","9.2","6.3","17.1","3.9","7.5","2.5","23.7","8.6","10.2","143.1"
"24","Jerick McKinnon","RB","KC","4.9","7.6","2","0","7.2","3","4.8","BYE","4.4","5.8","0.4","2.6","12","25.4","26.2","9.8","17.6","6.6","8.3","140.3"
"25","Devin Singletary","RB","HOU","6.2","2.1","15.1","7.6","4.6","10.7","-","8.3","4.8","14.7","15.7","8","11.1","4.3","7","18.5","0.3","1.2","8.2","140.2"
"26","AJ Dillon","RB","GB","15.1","6.7","3.8","8.4","3.4","5.2","1.5","6.3","4.4","6.5","2.3","14.8","17.9","BYE","19.1","10.8","10.1","3.3","8.2","139.6"
"27","Raheem Mostert","RB","MIA","3.2","7.9","1.1","8.1","18.2","4.8","16.9","6.7","8.6","14.7","BYE","-","3","4.4","15.6","2.9","15.1","6.1","8.6","137.3"
"28","Jeff Wilson Jr.","RB","MIA","3","10.3","8.6","13.4","19.2","0.5","5.4","3.5","13.2","20.3","BYE","11.2","0.3","2.6","-","10","7.6","7.4","8.5","136.5"
"29","Dameon Pierce","RB","HOU","3.9","7.7","16.1","19.9","17.3","BYE","11.7","11.1","13.9","10.2","1.7","1.6","9.5","11.8","-","-","-","-","10.5","136.4"
"30","Cordarrelle Patterson","RB","ATL","19.6","4.1","21.3","9.8","-","-","-","-","17.3","2","9.9","7.1","6","BYE","11.2","3.1","14.4","7.9","10.3","133.7"
"31","Cam Akers","RB","LAR","0","6.2","10.1","1.3","3.3","-","BYE","-","0.3","2.2","6.1","3.7","18","8.3","10","32.7","13.3","12.8","8.6","128.3"
