"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Travis Kelce","TE","KC","18.1","5.1","13.9","15.2","26.5","11.2","9.8","BYE","10.6","14.1","29.5","11.7","3.6","7.1","10.5","11.3","4.3","3.8","12.1","206.3"
"2","George Kittle","TE","SF","-","-","2.8","2.4","2.7","8.3","15.8","9.9","BYE","2.1","20.4","2.6","2.2","2.8","21.3","24","8.3","14.9","9.4","140.5"
"3","Taysom Hill","TE","NO","14.3","1.4","-","8.1","34.1","4.5","9.1","7.3","1.1","0.1","6.6","2","11.3","BYE","10.2","11.6","12.6","2.5","8.6","136.8"
"4","T.J. Hockenson","TE","MIN","3.8","2.6","7.8","31.9","0.6","-","4.8","8","7","4.5","3.4","10.3","3.3","5.7","5.3","22.9","5.9","1.6","7.6","129.4"
"5","Mark Andrews","TE","BAL","5.2","16.7","20.9","1.5","14.9","16.6","0.4","3.3","-","BYE","6.3","7","5.4","1.7","3.1","4.5","10","-","7.8","117.5"
"6","Evan Engram","TE","JAC","2.8","4.6","2.9","1.6","6.9","4","6.7","11.5","0.8","1.4","BYE","0.4","9","28.2","6.2","11.3","2.9","2.7","6.1","103.9"
"7","Cole Kmet","TE","CHI","0","0","4","1.6","4.5","1.5","3.2","7.1","17","19.4","3.5","2.7","7.2","BYE","2.5","2.7","8.7","11.7","5.7","97.3"
"8","Juwan Johnson","TE","NO","4.3","4","0","3.3","1.3","4.1","15.2","1.4","10.2","10.4","10.7","0","-","BYE","18.7","0.9","6.2","2.1","5.8","92.8"
"9","Dawson Knox","TE","BUF","0.5","4.1","2.5","4","-","9.7","BYE","7","2.5","5.7","7","1.7","0","10.1","15.8","9.8","-","7.3","5.8","87.7"
"10","Dallas Goedert","TE","PHI","6","8.2","8.6","7.2","9.5","2.2","BYE","6.4","16","6.3","-","-","-","-","-","6.7","4.5","4.6","7.2","86.2"
"11","Dalton Schultz","TE","HOU","6.2","-0.2","-","0","0","BYE","4.9","7.4","-","11.4","2.2","15.1","3.3","8.7","1.5","4.3","17.6","3.3","5.7","85.7"
"12","Pat Freiermuth","TE","PIT","7.5","8.2","4.1","8.5","1.2","-","7.5","5.7","BYE","3.6","7.9","3.9","7.6","9.3","-","6.6","3.6","0","5.7","85.2"
"13","David Njoku","TE","CLE","0.7","3.2","14.9","4.7","8.8","5.8","7.1","-","BYE","-","1.7","8.9","-","11.7","2.8","1.4","2.1","10.2","6","84"
"14","Gerald Everett","TE","LAC","11.4","7.1","2.5","12.1","0.2","2.9","6.3","BYE","3.6","2.3","-","3.8","8","2.8","4.2","-","7.5","6.8","5.4","81.5"
"15","Tyler Higbee","TE","LAR","3.9","7.1","6.1","7.3","4.6","0.7","BYE","1.5","0","7.3","4.5","-","1.4","1.1","8.7","21.4","1.1","3.3","5","80"
"16","Jordan Akins","TE","CLE","-","-","9.1","3.3","2.2","-","6.8","0.5","0","7.2","0.8","10.1","2.1","0.5","8.2","3.9","3.8","21","5.3","79.5"
"17","Tyler Conklin","TE","NYJ","7.6","4","8.4","5.2","0","1.7","2.2","19.9","0.7","BYE","1.5","5","0.9","2.8","0.9","3.4","8","1.3","4.3","73.5"
"18","Noah Fant","TE","SEA","1.6","1.1","2.7","6.2","4.9","4.5","0.7","1.9","9.6","3.4","BYE","3.4","10.2","0","9.2","7.2","4","2","4.3","72.6"
"19","Zach Ertz","TE","ARI","9.4","7.5","4.5","10.7","4.8","7","4.1","9.4","10","1.2","-","-","BYE","-","-","-","-","-","6.9","68.6"
"20","Mike Gesicki","TE","NE","0.1","10.1","0.6","2.3","3","18.9","2.7","9.8","0.3","3.1","-","0","0","0","0.5","2.4","7.8","4.6","3.9","66.2"
"21","Chigoziem Okonkwo","TE","TEN","0.7","0","-","9.8","0","BYE","0","0.3","4.8","4.1","3.1","3.5","6.8","12.5","6","1","2.4","10.2","4.1","65.2"
"22","Hunter Henry","TE","NE","2","0","0.8","1.3","5.4","12.1","1.2","2.2","5","BYE","2","12.3","1.3","7","0.9","-","5.2","4.2","3.9","62.9"
"23","Robert Tonyan","TE","CHI","3.6","1.1","3.7","8.2","2.3","9","3.2","3.5","2.9","0.8","1.9","2","1","BYE","0.4","1.3","11.2","2.9","3.5","59"
"24","Darren Waller","TE","NYG","7.9","11","2.2","2.4","-","-","-","0","BYE","-","-","-","-","-","10.8","5.8","13.2","3.5","6.3","56.8"
"25","Austin Hooper","TE","LV","0.6","1.9","1.9","0.4","0.7","BYE","5.6","0.5","3.4","4.1","15.6","3","2.2","6.8","3.3","2","0.6","3.8","3.3","56.4"
"26","Hayden Hurst","TE","CAR","4.6","2.4","0.7","8.7","11.3","2.1","4.8","4.2","3.5","-","2.8","5.7","1.2","-","-","-","2.5","1.4","4","55.9"
"27","Isaiah Likely","TE","BAL","0","4.3","0.8","-","0.7","3","1.6","13.7","8.4","BYE","0.1","-","3","-","1.8","0.4","7.2","10.3","4","55.3"
"28","Greg Dulcich","TE","DEN","-","-","-","-","-","10.4","5.1","8.7","BYE","1.1","3","1.1","8.5","4.2","1.1","9.9","-","-","5.3","53.1"
"29","Will Dissly","TE","SEA","10.3","0","9.4","9.9","2.1","1.2","4.5","1.2","2.4","2.8","BYE","1.7","2.2","2","1.3","1.9","-","-","3.5","52.9"
"30","Foster Moreau","TE","NO","-","3","4.4","-","-","-","2.8","3.1","2.4","10.3","3.3","9.3","3.2","0","2","1.9","5.5","1","3.7","52.2"
"31","Cade Otton","TE","TB","0","0.4","-","2.9","4.3","2.3","6.4","1.5","12.8","3.5","BYE","0","8.8","2.8","2","1.2","1.7","0.5","3.2","51.1"
"32","Jelani Woods","TE","IND","-","-","13.3","3.3","0","8.7","0.4","-","0.2","-","-","9.8","2.8","BYE","3.6","4.3","1.9","0.9","4.1","49.2"
"33","Kyle Pitts","TE","ATL","1.9","1.9","8.7","2.5","-","7.9","0.9","14","2.7","2.8","4.3","-","-","BYE","-","-","-","-","4.8","47.6"
"34","Brock Wright","TE","DET","-","2.5","-","0","-","BYE","5.7","0.6","0","6.2","2","0.6","2.5","0","11.1","1.1","13.3","0","3.3","45.6"
"35","Daniel Bellinger","TE","NYG","-","7.6","4","2.3","8.4","9.8","1.3","-","BYE","-","-","-","2.4","1.9","0.4","2.7","4.2","-","4.1","45"
"36","Colby Parkinson","TE","SEA","10.3","-","4.4","2.8","-","1.1","2.8","0.5","0.6","0.7","BYE","-","1.2","1","0","4.5","9.6","4.7","3.2","44.2"
"37","Noah Gray","TE","KC","1","1.2","2.6","6.1","0.7","1.3","1","BYE","4.5","8","1.5","1.6","1.5","4.5","3.1","0.8","1.2","1.4","2.5","42"
"38","MyCole Pruitt","TE","ATL","-","-","-","-","-","6.2","-","-","0.6","0.6","1.7","6.9","6.7","BYE","2","0","4.9","9.4","3.9","39"
"39","Logan Thomas","TE","WAS","4.5","9.7","0.5","1.9","-","-","-","-","0","1.2","6.5","0.7","2","BYE","0.6","3.5","5.6","1.6","2.9","38.3"
"40","C.J. Uzomah","TE","NYJ","-","-","0.5","0","1.2","1.7","0.5","2.7","1.6","BYE","0","1.7","3.1","0.7","16.1","3","2.4","-","2.5","35.2"
"41","Mo Alie-Cox","TE","IND","2.6","0.9","0.9","20.5","0.7","-","-","0","1.3","-","1.4","1.4","-1.4","BYE","0","0.2","0","6.4","2.5","34.9"
"42","Tommy Tremble","TE","CAR","0.1","-","0.7","3.4","0","-","8.9","1.7","5.1","0","0","0.2","BYE","0","2","1.8","9.3","0.2","2.2","33.4"
"43","Trey McBride","TE","ARI","-","-","-","2.4","-","0","0","0","-","0.7","1.4","0.1","BYE","2.8","5.5","1.7","13.8","4.1","2.7","32.5"
"44","Harrison Bryant","TE","CLE","1.8","4.5","-","1.8","0","1.8","1.5","-","BYE","7.5","4.1","0.9","1.4","0.8","0.7","-","1.9","2","2.2","30.7"
"45","Kylen Granson","TE","IND","2.2","1.4","0.7","6.2","1.6","3.8","0.6","1.1","0","5.7","1.6","-","1.9","BYE","3.4","-","-","-","2.3","30.2"
"45","Irv Smith Jr.","TE","CIN","0","9.6","3.2","2.3","4.2","6.7","-","2.8","-","BYE","-","-","-","-","-","-","-","1.4","3.8","30.2"
"47","Shane Zylstra","TE","DET","-","-","0","-","-","BYE","-","-","6.1","0","-","-","0.4","1.8","0.4","20.6","0.7","0","3.3","30"
"48","Jake Ferguson","TE","DAL","-","-","1.3","0.7","-","10","0.7","6.1","BYE","-","1.5","5.7","-0.1","-","-","2.4","0.7","0.4","2.7","29.4"
"49","Peyton Hendershot","TE","DAL","-","-","4.3","0","0","2.2","6.5","1.5","BYE","0","-0.2","6.2","0","-","8","-","0","-","2.4","28.5"
"50","Josh Oliver","TE","MIN","-","-","6.8","-","0","2.1","0","0.4","1.9","-","0.2","13.6","-","-","1.3","0.6","0","0","2.2","26.9"
"51","Adam Trautman","TE","DEN","-","-","0.9","3.7","9.2","0.8","-","-","0.8","2.2","1.2","1.7","2.8","-","0","0","1.6","1.8","2.1","26.7"
"52","O.J. Howard","TE","FA","15.8","0.7","0","2.7","0","-","-","2.4","1.4","0","0.9","0","-","-","-","-","2.6","-","2.4","26.5"
"53","Jonnu Smith","TE","ATL","3.3","0","2.5","-","-","6.1","0.4","1","2.1","-","4.5","-","0.6","0","2.4","2.1","-","-","2.1","25"
"53","Durham Smythe","TE","MIA","1.4","0.5","2.3","0","6.9","-","-","-","0","0","BYE","6.4","2.1","-","-0.2","0.8","0.9","3.9","1.9","25"
"55","Connor Heyward","TE","PIT","0","0","-","-","1.2","4.9","0.6","0","BYE","0.9","0","0","7.7","1.3","0","2.1","0","5.1","1.6","23.8"
"56","Teagan Quitoriano","TE","HOU","-","-","-","-","-","BYE","-","-","6.2","-","0","2","0","-","6.8","0","-","8.3","3.3","23.3"
"57","Jody Fortson","TE","KC","6.1","0","0","7","-","-","0.8","BYE","-","-1.4","5.1","2.6","0.6","-","0","-","-","-","2.1","20.8"
"58","Eric Saubert","TE","MIA","0","8.2","0","2.5","3.6","-","0","0","-","1.2","1.6","-","0","0.2","0.5","0","3","-","1.5","20.8"
"59","Marcedes Lewis","TE","CHI","-","-","-","-","6.2","-","-","-","1.9","-0.1","-","-","2","BYE","1.4","9.2","-","-","3.4","20.6"
"60","Johnny Mundt","TE","MIN","1.7","2.8","2.3","0","0.6","0.1","BYE","6.1","0.1","-","0.8","2","1.2","-","0.7","1.6","-","-","1.5","20"
"61","Eric Tomlinson","TE","FA","0","-","-","-","0","1.6","2.1","0","-","0","-","-","-","1.1","8.8","-","-","6.3","2.2","19.9"
"61","Mitchell Wilcox","TE","CIN","-","0.3","0.9","1.8","-","-","1.4","0.3","-","BYE","-","-","1.3","1","9.4","3.5","-","-","2.2","19.9"
"63","Ian Thomas","TE","CAR","5.3","1.3","1.3","0.6","0.8","2.2","0.3","0.2","-","-","2.4","2.1","BYE","1.1","0","1.2","0.9","-","1.4","19.7"
"64","Donald Parham Jr.","TE","LAC","-","-","-","-","0","5.3","-","BYE","-","-","-","-","-","-","3.5","0.8","6.3","3.1","3.2","19"
"65","Cameron Brate","TE","FA","0.7","0.9","5.2","3.2","-","1.4","-","-","-","0.8","-","1.5","-","1.2","2.5","-","-","-","1.9","17.4"
